exam_year,score,rank,section_num,category,subject_type,batch,rank_percent,total_student
2023,697,312,46,普通类,综合类,一段,0.0011,277524
2023,696,352,40,普通类,综合类,一段,0.0013,277524
2023,695,410,58,普通类,综合类,一段,0.0015,277524
2023,694,476,66,普通类,综合类,一段,0.0017,277524
2023,693,532,56,普通类,综合类,一段,0.0019,277524
2023,692,617,85,普通类,综合类,一段,0.0022,277524
2023,691,689,72,普通类,综合类,一段,0.0025,277524
2023,690,785,96,普通类,综合类,一段,0.0028,277524
2023,689,884,99,普通类,综合类,一段,0.0032,277524
2023,688,980,96,普通类,综合类,一段,0.0035,277524
2023,687,1100,120,普通类,综合类,一段,0.004,277524
2023,686,1239,139,普通类,综合类,一段,0.0045,277524
2023,685,1376,137,普通类,综合类,一段,0.005,277524
2023,684,1521,145,普通类,综合类,一段,0.0055,277524
2023,683,1687,166,普通类,综合类,一段,0.0061,277524
2023,682,1835,148,普通类,综合类,一段,0.0066,277524
2023,681,2019,184,普通类,综合类,一段,0.0073,277524
2023,680,2207,188,普通类,综合类,一段,0.008,277524
2023,679,2432,225,普通类,综合类,一段,0.0088,277524
2023,678,2650,218,普通类,综合类,一段,0.0095,277524
2023,677,2854,204,普通类,综合类,一段,0.0103,277524
2023,676,3121,267,普通类,综合类,一段,0.0112,277524
2023,675,3374,253,普通类,综合类,一段,0.0122,277524
2023,674,3611,237,普通类,综合类,一段,0.013,277524
2023,673,3895,284,普通类,综合类,一段,0.014,277524
2023,672,4155,260,普通类,综合类,一段,0.015,277524
2023,671,4444,289,普通类,综合类,一段,0.016,277524
2023,670,4710,266,普通类,综合类,一段,0.017,277524
2023,669,5013,303,普通类,综合类,一段,0.0181,277524
2023,668,5312,299,普通类,综合类,一段,0.0191,277524
2023,667,5647,335,普通类,综合类,一段,0.0203,277524
2023,666,5979,332,普通类,综合类,一段,0.0215,277524
2023,665,6338,359,普通类,综合类,一段,0.0228,277524
2023,664,6725,387,普通类,综合类,一段,0.0242,277524
2023,663,7093,368,普通类,综合类,一段,0.0256,277524
2023,662,7486,393,普通类,综合类,一段,0.027,277524
2023,661,7867,381,普通类,综合类,一段,0.0283,277524
2023,660,8261,394,普通类,综合类,一段,0.0298,277524
2023,659,8666,405,普通类,综合类,一段,0.0312,277524
2023,658,9081,415,普通类,综合类,一段,0.0327,277524
2023,657,9564,483,普通类,综合类,一段,0.0345,277524
2023,656,10015,451,普通类,综合类,一段,0.0361,277524
2023,655,10480,465,普通类,综合类,一段,0.0378,277524
2023,654,10990,510,普通类,综合类,一段,0.0396,277524
2023,653,11453,463,普通类,综合类,一段,0.0413,277524
2023,652,11960,507,普通类,综合类,一段,0.0431,277524
2023,651,12466,506,普通类,综合类,一段,0.0449,277524
2023,650,12975,509,普通类,综合类,一段,0.0468,277524
2023,649,13494,519,普通类,综合类,一段,0.0486,277524
2023,648,14028,534,普通类,综合类,一段,0.0505,277524
2023,647,14606,578,普通类,综合类,一段,0.0526,277524
2023,646,15142,536,普通类,综合类,一段,0.0546,277524
2023,645,15737,595,普通类,综合类,一段,0.0567,277524
2023,644,16327,590,普通类,综合类,一段,0.0588,277524
2023,643,16934,607,普通类,综合类,一段,0.061,277524
2023,642,17572,638,普通类,综合类,一段,0.0633,277524
2023,641,18249,677,普通类,综合类,一段,0.0658,277524
2023,640,18892,643,普通类,综合类,一段,0.0681,277524
2023,639,19542,650,普通类,综合类,一段,0.0704,277524
2023,638,20235,693,普通类,综合类,一段,0.0729,277524
2023,637,20885,650,普通类,综合类,一段,0.0753,277524
2023,636,21596,711,普通类,综合类,一段,0.0778,277524
2023,635,22325,729,普通类,综合类,一段,0.0804,277524
2023,634,23046,721,普通类,综合类,一段,0.083,277524
2023,633,23726,680,普通类,综合类,一段,0.0855,277524
2023,632,24430,704,普通类,综合类,一段,0.088,277524
2023,631,25179,749,普通类,综合类,一段,0.0907,277524
2023,630,25969,790,普通类,综合类,一段,0.0936,277524
2023,629,26683,714,普通类,综合类,一段,0.0961,277524
2023,628,27468,785,普通类,综合类,一段,0.099,277524
